Region,Zone/Sub City,Woreda
Addis Ababa,Addis Ketema,Woreda 01
Addis Ababa,Addis Ketema,Woreda 02
Addis Ababa,Addis Ketema,Woreda 03
Addis Ababa,Addis Ketema,Woreda 04
Addis Ababa,Addis Ketema,Woreda 05
Addis Ababa,Addis Ketema,Woreda 06
Addis Ababa,Addis Ketema,Woreda 07
Addis Ababa,Addis Ketema,Woreda 08
Addis Ababa,Addis Ketema,Woreda 09
Addis Ababa,Addis Ketema,Woreda 10
Addis Ababa,Addis Ketema,Woreda 11
Addis Ababa,Addis Ketema,Woreda 12
Addis Ababa,Addis Ketema,Woreda 13
Addis Ababa,Addis Ketema,Woreda 14
Addis Ababa,Addis Ketema,Woreda 15
Addis Ababa,Addis Ketema,Woreda 16
Addis Ababa,Addis Ketema,Woreda 17
Addis Ababa,Addis Ketema,Woreda 18
Addis Ababa,Addis Ketema,Woreda 19
Addis Ababa,Addis Ketema,Woreda 20
Addis Ababa,Addis Ketema,Woreda 21
Addis Ababa,Akaki Kality,Woreda 01
Addis Ababa,Akaki Kality,Woreda 02
Addis Ababa,Akaki Kality,Woreda 03
Addis Ababa,Akaki Kality,Woreda 04
Addis Ababa,Akaki Kality,Woreda 05
Addis Ababa,Akaki Kality,Woreda 06
Addis Ababa,Akaki Kality,Woreda 07
Addis Ababa,Akaki Kality,Woreda 08
Addis Ababa,Akaki Kality,Woreda 09
Addis Ababa,Akaki Kality,Woreda 10
Addis Ababa,Akaki Kality,Woreda 11
Addis Ababa,Akaki Kality,Woreda 12
Addis Ababa,Akaki Kality,Woreda 13
Addis Ababa,Akaki Kality,Woreda 17 - Kilinto
Addis Ababa,Akaki Kality,Woreda 18 - Feche Koye
Addis Ababa,Akaki Kality,Woreda 19 - Gelangora
Addis Ababa,Arada,Woreda 01
Addis Ababa,Arada,Woreda 02
Addis Ababa,Arada,Woreda 03
Addis Ababa,Arada,Woreda 04
Addis Ababa,Arada,Woreda 05
Addis Ababa,Arada,Woreda 06
Addis Ababa,Arada,Woreda 07
Addis Ababa,Arada,Woreda 08
Addis Ababa,Arada,Woreda 09
Addis Ababa,Arada,Woreda 10
Addis Ababa,Arada,Woreda 11
Addis Ababa,Arada,Woreda 12
Addis Ababa,Arada,Woreda 13
Addis Ababa,Arada,Woreda 14
Addis Ababa,Arada,Woreda 15
Addis Ababa,Arada,Woreda 16
Addis Ababa,Arada,Woreda 17
Addis Ababa,Bole,Woreda 01
Addis Ababa,Bole,Woreda 02
Addis Ababa,Bole,Woreda 03
Addis Ababa,Bole,Woreda 04
Addis Ababa,Bole,Woreda 05
Addis Ababa,Bole,Woreda 06
Addis Ababa,Bole,Woreda 07
Addis Ababa,Bole,Woreda 08
Addis Ababa,Bole,Woreda 09
Addis Ababa,Bole,Woreda 10
Addis Ababa,Bole,Woreda 11
Addis Ababa,Bole,Woreda 12
Addis Ababa,Bole,Woreda 13
Addis Ababa,Bole,Woreda 14
Addis Ababa,Bole,Woreda 15
Addis Ababa,Bole,Woreda 16
Addis Ababa,Bole,Woreda 17
Addis Ababa,Bole,Woreda 18
Addis Ababa,Bole,Woreda 19
Addis Ababa,Bole,Woreda 20
Addis Ababa,Bole,Woreda 21
Addis Ababa,Bole,Woreda 22
Addis Ababa,Kirkos,Woreda 01
Addis Ababa,Kirkos,Woreda 02
Addis Ababa,Kirkos,Woreda 03
Addis Ababa,Kirkos,Woreda 04
Addis Ababa,Kirkos,Woreda 05
Addis Ababa,Kirkos,Woreda 06
Addis Ababa,Kirkos,Woreda 07
Addis Ababa,Kirkos,Woreda 08
Addis Ababa,Kirkos,Woreda 09
Addis Ababa,Kirkos,Woreda 10
Addis Ababa,Kirkos,Woreda 11
Addis Ababa,Kirkos,Woreda 12
Addis Ababa,Kirkos,Woreda 13
Addis Ababa,Kirkos,Woreda 14
Addis Ababa,Kirkos,Woreda 15
Addis Ababa,Kirkos,Woreda 16
Addis Ababa,Kirkos,Woreda 17
Addis Ababa,Kirkos,Woreda 18
Addis Ababa,Kirkos,Woreda 19
Addis Ababa,Kirkos,Woreda 20
Addis Ababa,Kirkos,Woreda 21
Addis Ababa,Kolfe,Woreda 01
Addis Ababa,Kolfe,Woreda 02
Addis Ababa,Kolfe,Woreda 03
Addis Ababa,Kolfe,Woreda 04
Addis Ababa,Kolfe,Woreda 05
Addis Ababa,Kolfe,Woreda 06
Addis Ababa,Kolfe,Woreda 07
Addis Ababa,Kolfe,Woreda 08
Addis Ababa,Kolfe,Woreda 09
Addis Ababa,Kolfe,Woreda 10
Addis Ababa,Kolfe,Woreda 11
Addis Ababa,Kolfe,Woreda 12
Addis Ababa,Kolfe,Woreda 13
Addis Ababa,Kolfe,Woreda 14
Addis Ababa,Kolfe,Woreda 15
Addis Ababa,Kolfe,Woreda 16
Addis Ababa,Lideta,Woreda 01
Addis Ababa,Lideta,Woreda 02
Addis Ababa,Lideta,Woreda 03
Addis Ababa,Lideta,Woreda 04
Addis Ababa,Lideta,Woreda 05
Addis Ababa,Lideta,Woreda 06
Addis Ababa,Lideta,Woreda 07
Addis Ababa,Lideta,Woreda 08
Addis Ababa,Lideta,Woreda 09
Addis Ababa,Lideta,Woreda 10
Addis Ababa,Lideta,Woreda 11
Addis Ababa,Lideta,Woreda 12
Addis Ababa,Lideta,Woreda 13
Addis Ababa,Lideta,Woreda 14
Addis Ababa,Lideta,Woreda 15
Addis Ababa,Lideta,Woreda 16
Addis Ababa,Lideta,Woreda 17
Addis Ababa,Lideta,Woreda 18
Addis Ababa,Nifas Silk Lafto,Woreda 01
Addis Ababa,Nifas Silk Lafto,Woreda 02
Addis Ababa,Nifas Silk Lafto,Woreda 03
Addis Ababa,Nifas Silk Lafto,Woreda 04
Addis Ababa,Nifas Silk Lafto,Woreda 05
Addis Ababa,Nifas Silk Lafto,Woreda 06
Addis Ababa,Nifas Silk Lafto,Woreda 07
Addis Ababa,Nifas Silk Lafto,Woreda 08
Addis Ababa,Nifas Silk Lafto,Woreda 09
Addis Ababa,Nifas Silk Lafto,Woreda 10
Addis Ababa,Nifas Silk Lafto,Woreda 11
Addis Ababa,Nifas Silk Lafto,Woreda 12
Addis Ababa,Nifas Silk Lafto,Woreda 13
Addis Ababa,Nifas Silk Lafto,Woreda 14
Addis Ababa,Nifas Silk Lafto,Woreda 15
Addis Ababa,Nifas Silk Lafto,Woreda 16
Addis Ababa,Nifas Silk Lafto,Woreda 17
Addis Ababa,Nifas Silk Lafto,Woreda 18
Addis Ababa,Yeka,Woreda 01
Addis Ababa,Yeka,Woreda 02
Addis Ababa,Yeka,Woreda 03
Addis Ababa,Yeka,Woreda 04
Addis Ababa,Yeka,Woreda 05
Addis Ababa,Yeka,Woreda 06
Addis Ababa,Yeka,Woreda 07
Addis Ababa,Yeka,Woreda 08
Addis Ababa,Yeka,Woreda 09
Addis Ababa,Yeka,Woreda 10
Addis Ababa,Yeka,Woreda 11
Addis Ababa,Yeka,Woreda 12
Addis Ababa,Yeka,Woreda 13
Addis Ababa,Yeka,Woreda 14
Addis Ababa,Yeka,Woreda 15
Addis Ababa,Yeka,Woreda 16
Addis Ababa,Yeka,Woreda 17
Addis Ababa,Yeka,Woreda 18
Addis Ababa,Yeka,Woreda 19
Addis Ababa,Yeka,Woreda 20
Addis Ababa,Yeka,Woreda 21
Addis Ababa,Gulele,Woreda 01
Addis Ababa,Gulele,Woreda 02
Addis Ababa,Gulele,Woreda 03
Addis Ababa,Gulele,Woreda 04
Addis Ababa,Gulele,Woreda 05
Addis Ababa,Gulele,Woreda 06
Addis Ababa,Gulele,Woreda 07
Addis Ababa,Gulele,Woreda 08
Addis Ababa,Gulele,Woreda 09
Addis Ababa,Gulele,Woreda 10
Addis Ababa,Gulele,Woreda 11
Addis Ababa,Gulele,Woreda 12
Addis Ababa,Gulele,Woreda 13
